predicted_demand_id,tour_date_id,predicted_demand,recommended_price
1,39,95,475.0
2,40,95,475.0
3,41,95,475.0
4,42,95,475.0
5,43,95,475.0
6,44,95,475.0
7,45,95,475.0
8,46,95,475.0
9,47,95,475.0
10,48,95,475.0
11,49,95,475.0
12,50,95,475.0
13,51,95,475.0
14,52,100,607.476635514019
15,53,100,607.476635514019
16,54,100,607.476635514019
17,55,100,607.476635514019
18,56,100,607.476635514019
19,57,100,607.476635514019
20,58,100,607.476635514019
21,59,100,607.476635514019
22,60,100,607.476635514019
23,61,100,607.476635514019
24,62,100,607.476635514019
25,63,100,607.476635514019
26,64,100,607.476635514019
